AdditionalExp,AgentStatus,AgExemptYN,AnnualLeaseAmt,APXBuildingSqFt,ApxWarehouseSqFt,AssociationFee,AVMYN,Baths,Bedrooms,BlogYN,CAMSf,CeilingHeight,City,Construction,Cooling,County,DateNewListing,DeedRestrictions,Directions,DisplayAddressListing,DisplayFlagAddress,Dockage,DualCommisson,ElectricVoltage,ElementarySchool,ElevatorYN,ExclusiveAgency,ExistingMtg,ExteriorMiscellaneous,Extras,Floor,ForeclosedYN,FrontageRoad,GrossIncome,Heating,HighSchool,HOAYN,IDX,IDXYN,LeaseOption,LeaseRate,LeaseTerm,LeaseTerms,LeaseType,LeaseYN,ListAgentAgentID,ListDate,ListingAgentID,ListingBoardID,ListingFirmID,ListingID,ListingOfficeID,ListingStatus,ListOfficeOfficeID,ListPrice,Location,LotSizeArea,LotSizeDim1,LotSizeDim2,LotSizeDim4,LotSizeDimensions,MiddleSchool,ModificationTimeStamp,NaturalGasYN,NetIncome,NonRep,NonRepCommType,Offerings,OfficeIDX,OfficeSqFt,OfficeStatus,OpenHouseAgentID,OpenHouseBoardID,OpenHouseEndDate,OpenHouseEndTime,OpenHouseEndTimeAMPM,OpenHouseFirmID,OpenHouseOfficeID,OpenHouseRemarks,OpenHouseStartDate,OpenHouseStartTimeAMPM,OpenHouseTime,OpenHouseType,OpenHouseYN,OperatingExpenses,OriginalListingFirm,OverheadDoors,ParcelNumber,Parking,PendingAgentAgentID,PendingOfficeOfficeID,PhotoCount,PhotoModificationTimestamp,Photos,PostalCode,PropertyFormat,PropertySubtype,PropertyType,PropertyTypeFeatures,PublicRemarks,Restrooms,Roof,SaleIncludes,SaleYN,Sewer,ShortSaleYN,Show,ShowNoShow,SprinklerYN,StateOrProvince,StatusChangeDate,Stories,StreetDirPrefix,StreetName,StreetNumber,Subdivision,TaxAmount,TaxRange,TaxSectionCode,TaxTownship,TermsNewFinancing,TotalLivingSF,TotalUnits,TransBrokerCommType,Units,Utilities,VirtualTourURL,VirtualTourYN,VOWYN,Water,Waterfront,YearBuilt,Zoning
,"- Active",No,,7940,,,No,0,0,No,,"7-10 Ft.",Ocala,"Frame w/ Stucco","Central Electric",Marion,2012-10-01,,"From Silver Springs Blvd, North On Hwy 441, Right on NW 2nd Street, Left on NW 3rd Avenue to site on left.",Yes,Yes,,No,,,No,Right,,Landscaped,"Refrigerator,Security Alarm System,Stairs Only,Storage Area","Tile,W/W Carpet",No,City,,"Central Electric",,,Yes,Yes,,0,,None,,No,27151740271512350,2012-09-24,271512350,2715,174,380419,0,Active,27151740,795000,"Paved Street,In City Limits",.62,195,,,138,,2014-02-25T14:22:52,No,,3,%,"Title Insurance",Yes,,"- Active",,,,,,,,,,,,,,,"SHOWCASE PROPERTIES OF CNTRL FL INC-0",,2860-006-001,"16+ Spaces,Paved",,,22,2014-02-11T11:39:12,Attached,34475,,Office,Commercial,"O-Personal Services,OT-Other See Remarks","EXCELLENT LOCALE 7,940 SF Well Maintained Professional Bldg in Prime Area of Attorneys, CPAs, etc. Just Blocks from Marion County Judicial Building & Federal Court House. 2 Levels; Large Reception Area, 6 Restrooms, 18 Offices, 2 Conference Rooms, 2 Kitchens, Storage Areas, etc. Newly Paved Parking Lot w/38 Spaces. Roof within last 5 years. Great Visibility From Hwy 441. Portion of Building Leased/Seller Desires to Lease Back Office Space. Great Opportunity!",5,Shingle,"Building(s) and Land",Yes,City,No,"Appointment,Call Listing Agent","Call Listing Agt",,Florida,2013-06-21,Two,NW,"3 AVE",320,"Comm Nonsub",9520.15,22E,18,15,"Cash,Conventional",7940,,%,1,"Above Ground Electric,Underground Electric",,,No,City,,1976,"B-3 Specialty Business"
0,"- Active",,,7940,,,No,0,0,No,0,"7-10 Ft.",Ocala,"Frame w/ Stucco","Central Electric",Marion,2013-04-26,,"From Silver Springs Blvd, North On Hwy 441, Right on NW 2nd Street, Left on NW 3rd Avenue to site on left.",Yes,Yes,,No,,,,Right,,"Landscaped,Security Lighting,Sprinklers-Landscaped",,"Tile,W/W Carpet",,,,"Central Electric",,,Yes,Yes,,1.65,,"1-3 Years","Other- see comments",Yes,27151740271512350,2013-04-24,271512350,2715,174,389706,0,Active,27151740,370,"Paved Street,In City Limits",.62,,,,,,2014-02-25T14:22:52,,,184.80,$,,Yes,224,"- Active",,,,,,,,,,,,,,,"SHOWCASE PROPERTIES OF CNTRL FL INC-0",,2860-006-001,"16+ Spaces",,,4,2013-05-01T20:01:17,Attached,34475,,Office,Commercial,"O-Personal Services","For Lease individual offices in Well Maintained Professional Office Bldg in Prime Area of Attorneys, CPAs, etc. Just Blocks from Marion County Judicial Building & Federal Court House, Downtown Ocala.  Building is 2 Levels w/Large Common Reception Area.  Tenant would have access to shared Conference Room, Kitchen, bathrooms and Storage Areas. Building has Newly Paved Parking Lot w/38 Spaces and offers Great Visibility From Hwy 441. (North Office w/Window) Total of 7 offices available for lease.",5,Shingle,"Other-See Remarks",No,City,No,"Appointment,Call Listing Agent","Call Listing Agt",,Florida,2013-05-01,Two,NW,"3 AVE",320,"Comm Nonsub",9520.15,22E,18,15,,224,,$,1,"Underground Electric",,,No,City,,1976,"B-3 Specialty Business"
0,"- Active",,,7940,,,No,0,0,No,0,"7-10 Ft.",Ocala,"Frame w/ Stucco","Central Electric",Marion,2013-04-26,,"From Silver Springs Blvd, North On Hwy 441, Right on NW 2nd Street, Left on NW 3rd Avenue to site on left.",Yes,Yes,,No,,,,Right,,"Landscaped,Security Lighting,Sprinklers-Landscaped",,"Tile,W/W Carpet",,,,"Central Electric",,,Yes,Yes,,1.65,,"1-3 Years","Other- see comments",Yes,27151740271512350,2013-04-24,271512350,2715,174,389707,0,Active,27151740,347,,.62,,,,,,2014-02-25T14:22:52,,,173.25,$,,Yes,210,"- Active",,,,,,,,,,,,,,,"SHOWCASE PROPERTIES OF CNTRL FL INC-0",,2860-006-001,"16+ Spaces",,,4,2013-05-01T20:04:06,Attached,34475,,Office,Commercial,"O-Personal Services","For Lease individual offices in Well Maintained Professional Office Bldg in Prime Area of Attorneys, CPAs, etc. Just Blocks from Marion County Judicial Building & Federal Court House, Downtown Ocala.  Building is 2 Levels w/Large Common Reception Area.  Tenant would have access to shared Conference Room, Kitchen, bathrooms and Storage Areas. Building has Newly Paved Parking Lot w/38 Spaces and offers Great Visibility From Hwy 441. (Ass't Office/North) Great Opportunity at a great price!",5,Shingle,"Other-See Remarks",No,City,No,"Appointment,Call Listing Agent","Call Listing Agt",,Florida,2013-05-01,Two,NW,"3 AVE",320,"Comm Nonsub",9520.15,22E,18,15,,210,,$,1,"Underground Electric",,,No,City,,1976,"B-3 Specialty Business"
0,"- Active",,,7940,,,No,0,0,No,0,"7-10 Ft.",Ocala,"Frame w/ Stucco","Central Electric",Marion,2013-04-26,,"From Silver Springs Blvd, North On Hwy 441, Right on NW 2nd Street, Left on NW 3rd Avenue to site on left",Yes,Yes,,No,,,,Right,,"Landscaped,Security Lighting,Sprinklers-Landscaped",,"Tile,W/W Carpet",,,,"Central Electric",,,Yes,Yes,,1.65,,"1-3 Years","Other- see comments",Yes,27151740271512350,2013-04-24,271512350,2715,174,389710,0,Active,27151740,323,"Paved Street,In City Limits",.62,195,,,138,,2014-02-25T14:24:42,,,161.70,$,,Yes,196,"- Active",,,,,,,,,,,,,,,"SHOWCASE PROPERTIES OF CNTRL FL INC-0",,2860-006-001,"16+ Spaces",,,4,2013-05-01T20:11:13,Attached,34475,,Office,Commercial,"O-Personal Services","For Lease; individual office space in Well Maintained Professional Office Bldg in Prime Area of Attorneys, CPAs, etc. Just Blocks from Marion County Judicial Building & Federal Court House, Downtown Ocala.  Building is 2 Levels w/Large Common Reception Area.  Tenant would have access to shared Conference Room, Kitchen, bathrooms and Storage Areas. Building has Newly Paved Parking Lot w/38 Spaces and offers Great Visibility From Hwy 441. (Ass't Office South) Total of 7 offices available for lease",5,Shingle,"Other-See Remarks",No,City,No,"Appointment,Call Listing Agent","Call Listing Agt",,Florida,2013-05-01,Two,NW,"3 AVE",320,"Comm Nonsub",9520.15,22E,18,15,,196,,$,1,"Underground Electric",,,No,City,,1976,"B-3 Specialty Business"
0,"- Active",,,7940,,,No,0,0,No,0,"7-10 Ft.",Ocala,"Frame w/ Stucco","Central Electric",Marion,2013-04-26,,"From Silver Springs Blvd, North On Hwy 441, Right on NW 2nd Street, Left on NW 3rd Avenue to site on left.",Yes,Yes,,No,,,No,Right,,"Security Lighting,Sprinklers-Landscaped",,"Tile,W/W Carpet",,,,"Central Electric",,,Yes,Yes,,1.65,,"1-3 Years","Other- see comments",Yes,27151740271512350,2013-04-24,271512350,2715,174,389703,0,Active,27151740,370,"Paved Street,In City Limits",.62,195,,,138,,2014-02-25T14:22:52,No,,184.50,$,,Yes,224,"- Active",,,,,,,,,,,,,,,"SHOWCASE PROPERTIES OF CNTRL FL INC-0",,2860-006-001,"16+ Spaces",,,4,2013-05-01T19:57:57,Attached,34475,,Office,Commercial,"O-Personal Services","For Lease; Individual office in Well Maintained Professional Office Bldg in Prime Area of Attorneys, CPAs, etc. Just Blocks from Marion County Judicial Building & Federal Court House, Downtown Ocala.  Building is 2 Levels w/Large Common Reception Area.  Tenant would have access to shared Conference Room, Kitchen, bathrooms and Storage Areas. Building has Newly Paved Parking Lot w/38 Spaces and offers Great Visibility From Hwy 441. (South Office w/Window) Total of 7 offices available for lease",5,Shingle,"Other-See Remarks",No,City,No,"Appointment,Call Listing Agent","Call Listing Agt",,Florida,2013-05-01,Two,NW,"3 AVE",320,"Comm Nonsub",9520.15,22E,18,15,,224,,$,1,"Underground Electric",,No,No,City,,1976,"B-3 Specialty Business"
,"- Active",No,,542,,,No,1,0,No,,"7-10 Ft.",Reddick,Frame,"Wall/Window Unit",Marion,2014-01-08,,"From Ocala North on Hwy 441, Left on NW 193rd Street (VFW across road); Left on NW 191st Lane Rd to site on Right.",Yes,Yes,,No,,,,Right,,,,,No,County,,"Wall/Window Unit",,,Yes,Yes,,,,None,,No,27151740271512350,2014-01-06,271512350,2715,174,401427,0,Active,27151740,19200,"Paved Street",.59,,,,,,2014-03-08T23:12:45,,,3,%,"Title Insurance",Yes,542,"- Active",,,,,,,,,,,,,,,"SHOWCASE PROPERTIES OF CNTRL FL INC-0",,02838-000-00,"2-5 Spaces,Unpaved",,,14,2014-03-08T23:06:41,"To Follow",32686,,Other,Commercial,"O-Other See Remarks,OT-Other See Remarks","Handy Man Special in Great Location; Just off Hwy 441.  Property Zoned B-2.  Needs TLC, but structure has working plumbing, electric, etc.  Will need a roof and finish work to back of building where small mobile add on was removed.  Per County, small mobile can be placed in back of existing structure where removed without impact fees; (please verify with Marion County).",0,Metal,"Building(s) and Land",Yes,Septic,No,"Call Listing Agent",Other,,Florida,2014-03-08,One,NW,"191 LANE RD",5912,"Comm Nonsub",521.72,21E,21,12,Cash,542,,%,1,"Above Ground Electric",,,No,Well,,1962,"B-2 Community Business"
,"- Active",No,,1700,0,,No,1,0,No,,"7-10 Ft.",Ocala,Frame,"Central Electric",Marion,2013-10-07,,"From Hwy 441, Hwy 40 (Silver Springs Blvd.) East, Left on NE 25th Avenue, Left on NE 3rd Street to Bldg. on left.",Yes,Yes,None,No,,,No,Right,,"Fenced,Landscaped,Wheelchair Access","Private Restrooms,Public Restrooms,Range,Storage Area,Wheelchair Accessible","Tile,W/W Carpet",No,City,,"Central Electric",,,Yes,Yes,,,,None,,No,27151740271512350,2013-10-04,271512350,2715,174,397403,0,Active,27151740,99000,"Paved Street,In City Limits",.25,,,,,,2014-03-06T19:30:08,No,,4,%,"Title Insurance",Yes,1700,"- Active",,,,,,,,,,,,,,,"SHOWCASE PROPERTIES OF CNTRL FL INC-0",None,29186-000-00,"6-15 Spaces",,,18,2014-03-06T19:30:08,"To Follow",34470,,Office,Commercial,"OT-Other See Remarks","Residential Office in Prime Location of NE 25th Avenue. Turnkey office/retail building zoned RO Residential Office. 3 offices, 2 reception areas, 3 restrooms (one wheelchair accessible), break room/kitchen. DSL available. Plenty of on-site parking with great exposure to highly traveled NE 25th Avenue & NE 3rd Street; just off Hwy 40. Great opportunity to purchase and stop paying rent! Building could accommodate several businesses; potential income producing. New Roof; Stucco Exterior and Paint.",3,Shingle,"Building(s) and Land",Yes,City,No,"Call Listing Agent","Call Listing Agt",,Florida,2014-03-06,One,NE,"3 ST",2444,"Silver Crest",1706.24,22E,16,15,"Cash,Conventional",1987,,%,1,"Above Ground Electric,Street Lights",,No,No,City,,1956,"R-O Residential Office"
0,"- Active",,,7940,,,No,0,0,No,0,"7-10 Ft.",Ocala,"Frame w/ Stucco","Central Electric",Marion,2013-04-26,,"From Silver Springs Blvd, North On Hwy 441, Right on NW 2nd Street, Left on NW 3rd Avenue to site on left.",Yes,Yes,,No,,,,Right,,"Landscaped,Security Lighting,Sprinklers-Landscaped",,"Tile,W/W Carpet",,,,"Central Electric",,,Yes,Yes,,1.65,,"1-3 Years","Other- see comments",Yes,27151740271512350,2013-04-24,271512350,2715,174,389708,0,Active,27151740,370,"Paved Street,In City Limits",.62,,,,,,2014-02-25T14:24:42,,,184.80,$,,Yes,224,"- Active",,,,,,,,,,,,,,,"SHOWCASE PROPERTIES OF CNTRL FL INC-0",,2860-006-001,"16+ Spaces",,,4,2013-05-01T20:07:18,Attached,34475,,Office,Commercial,"O-Personal Services","For Lease; individual office space in Well Maintained Professional Office Bldg in Prime Area of Attorneys, CPAs, etc. Just Blocks from Marion County Judicial Building & Federal Court House, Downtown Ocala.  Building is 2 Levels w/Large Common Reception Area.  Tenant would have access to shared Conference Room, Kitchen, bathrooms and Storage Areas. Building has Newly Paved Parking Lot w/38 Spaces and offers Great Visibility From Hwy 441. (West Office) Total of 7 offices available for lease.",5,Shingle,"Other-See Remarks",No,City,No,"Appointment,Call Listing Agent","Call Listing Agt",,Florida,2013-05-01,Two,NW,"3 AVE",320,"Comm Nonsub",9520.15,22E,18,15,,224,,$,1,"Underground Electric",,,No,City,,1976,"B-3 Specialty Business"
,"- Active",No,,1464,1000,,No,0,0,No,,"7-10 Ft.",Ocala,"Frame w/ Aluminum","Central Electric",Marion,2013-11-25,,"Hwy 40 West, left on South HWY 441 property on left",No,No,None,No,,,No,Right,,"Fenced,Security Lighting","Private Restrooms,Public Restrooms,Storage Area",Concrete,No,City,,"Central Electric",,,Yes,Yes,,0,,"Month to Month",,No,2715380271510659,2013-11-25,271510659,2715,38,399732,0,Active,2715380,5900000,"Paved Street,In City Limits",50,,,,,,2013-12-04T13:50:35,No,,2,%,,Yes,400,"- Active",,,,,,,,,,,,,,,"CB/ELLISON REALTY-0",None,31299-000-00,"16+ Spaces",,,1,2013-12-04T13:50:35,"To Follow",34471,,Retail,Commercial,"OT-Other See Remarks","The value is in the land of this 50+ acre parcel.Total acerage includeds 3 parcels. PID# 31299-000-00; PID# 31299-001-00; PID# 31299-002-00.  At the present time this property is leased. An additional 50 Acres are available.",2,Metal,"Building(s) and Land",Yes,City,No,"Appointment,Call List Office","Call Listing Agt",No,Florida,2013-12-04,One," S","HWY 441",4725,"Comm Nonsub",15275.6,22E,33,15,"Cash,Conventional",1574,,%,1,"Above Ground Electric,Street Lights",,No,No,City,,1975,"B-2 Community Business"
,"- Active",,,,,,No,0,0,No,,"7-10 Ft.",Newberry,"Mobile Manufactured","Central Electric",Alachua,2014-01-09,,"From Ocala, North on I-75, take Exit 387 FL-26 towards Newberry. Left on FL 26 W/State Rd 26 W, left on SW 255 St.",Yes,Yes,,No,,,No,Right,,"Landscaped,Security Lighting","Private Restrooms,Public Restrooms","W/W Carpet",No,City,,"Central Electric",,,Yes,Yes,,,,None,,No,2715380271510659,2014-01-07,271510659,2715,38,401519,0,Active,2715380,99900,"Paved Street",.31,,,,,,2014-01-21T19:26:33,No,,3,%,,Yes,,"- Active",,,,,,,,,,,,,,,"CB/ELLISON REALTY-0",,02219-008-000,"6-15 Spaces",,,22,2014-01-21T19:26:33,Attached,32669,,Office,Commercial,O-Building,"Prime location, right off the drage of Newberry, commercial building.",1,Metal,"Building(s) and Land",Yes,City,No,"Appointment,Call List Office","Call Listing Agt",No,Florida,2014-01-21,One,SW,"255 ST",85,"Out Of County",909.43,Other,04,10,"Cash,Contract for Deed",1344,,%,1,"Above Ground Electric",,,No,City,,,Other
